N	E
45.588181	25.433510
46.031064	26.240716
46.021454	26.279365
45.875560	26.136710
45.868350	26.069261
46.209290	26.074031
46.022898	26.229338
46.025487	26.227930
46.214830	26.073770
46.210780	26.073130
46.211998	26.073060
46.212880	26.072580
46.214327	26.073897
45.872660	26.120281
45.873380	26.126311
45.873610	26.128650
46.021459	26.280567
46.021490	26.281800
46.021671	26.283095
46.021466	26.283914
45.707574	25.509540
45.706623	25.509540
45.706482	25.506279
45.600059	25.436954
45.598904	25.437478
45.597952	25.437466
45.596645	25.437536
45.595186	25.437522
45.732201	25.809700
45.730301	25.808660
45.730300	25.808661
